School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2019-20,School Type [Public School] 2019-20,Charter School [Public School] 2019-20,Magnet School [Public School] 2019-20,Shared Time School [Public School] 2019-20,Urban-centric Locale [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20,Lowest Grade Offered [Public School] 2019-20,Highest Grade Offered [Public School] 2019-20,School Level (SY 2017-18 onward) [Public School] 2019-20
283-ST. LOUIS PARK ALC,Minnesota,MN ,2.70003E+11,INTERMEDIATE SCHOOL DISTRICT 287,4-Alternative/other school,2-No,2-No,1-Yes,21-Suburb: Large,0,–,†,9th Grade,12th Grade,High
3-YEAR-OLD PRESCHOOL,NEBRASKA,NE ,3.17718E+11,SOUTHERN SCHOOL DISTRICT 1,1-Regular school,†,†,2-No,42-Rural: Distant,0,0.00,†,Prekindergarten,Prekindergarten,Prekindergarten
30TH AVENUE SCHOOL (THE) (G & T CITYWIDE),NEW YORK,NY ,3.6001E+11,NEW YORK CITY GEOGRAPHIC DISTRICT #30,1-Regular school,2-No,2-No,2-No,11-City: Large,542,29.88,18.14,Kindergarten,8th Grade,Elementary
360 HIGH SCHOOL,RHODE ISLAND,RI ,4.4009E+11,Providence,1-Regular school,2-No,†,2-No,12-City: Mid-size,256,24.5,10.45,9th Grade,12th Grade,High
3B JUVENILE DETENTION CENTER,Idaho,ID ,1.60153E+11,IDAHO FALLS DISTRICT,4-Alternative/other school,2-No,2-No,2-No,13-City: Small,17,1.25,13.6,4th Grade,12th Grade,Other
3D ACADEMY,Texas,TX ,4.81739E+11,DONNA ISD,4-Alternative/other school,2-No,2-No,–,21-Suburb: Large,146,13.5,10.81,9th Grade,12th Grade,High
3RD H S,Texas,TX ,4.84653E+11,WYLIE ISD,1-Regular school,2-No,†,†,21-Suburb: Large,†,†,†,–,–,Not Reported
4-J ELEMENTARY SCHOOL,Wyoming,WY ,5.60147E+11,Campbell County School District #1,1-Regular school,2-No,†,2-No,43-Rural: Remote,38,4.4,8.64,Kindergarten,6th Grade,Elementary
4122 - EAGLE RIDGE ACADEMY - IS,MINNESOTA,MN ,2.70003E+11,INTERMEDIATE SCHOOL DISTRICT 287,4-Alternative/other school,2-No,2-No,1-Yes,13-City: Small,0,–,†,9th Grade,12th Grade,High
4126 - PRAIRIE SEEDS ACADEMY - IS,Minnesota,MN ,2.70003E+11,INTERMEDIATE SCHOOL DISTRICT 287,4-Alternative/other school,2-No,2-No,1-Yes,21-Suburb: Large,0,–,†,9th Grade,12th Grade,High
47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE),New York,NY ,3.60008E+11,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,1-Regular school,2-No,2-No,2-No,11-City: Large,182,26,7,Prekindergarten,8th Grade,Elementary
49TH STREET ACADEMY,Washington,WA ,5.3027E+11,Evergreen School District (Clark),2-Special education school,2-No,2-No,–,12-City: Mid-size,91,15.05,6.05,Kindergarten,12th Grade,Other
4K CENTER FOR LITERACY,WISCONSIN,WI ,5.50747E+11,Kimberly Area School District,1-Regular school,2-No,2-No,2-No,22-Suburb: Mid-size,331,8.81,37.57,Prekindergarten,Prekindergarten,Prekindergarten
4K COMMUNITY SCHOOL,WISCONSIN,WI ,5.50189E+11,Burlington Area School District,1-Regular school,2-No,2-No,2-No,31-Town: Fringe,44,1,44,Prekindergarten,Prekindergarten,Prekindergarten
4K COMMUNITY-BASED,Wisconsin,WI ,5.51266E+11,Reedsburg School District,1-Regular school,2-No,2-No,2-No,32-Town: Distant,70,4,17.5,Prekindergarten,Prekindergarten,Prekindergarten
4K MCFARLAND,Wisconsin,WI ,5.50891E+11,McFarland School District,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,141,4,35.25,Prekindergarten,Prekindergarten,Prekindergarten
4K PK OFF SITE,Wisconsin,WI ,5.50852E+11,Madison Metropolitan School District,1-Regular school,2-No,2-No,2-No,11-City: Large,675,60.5,11.16,Prekindergarten,Prekindergarten,Prekindergarten
500 REACH,KANSAS,KS ,2.00795E+11,Kansas City,1-Regular school,2-No,2-No,–,12-City: Mid-size,288,–,†,9th Grade,12th Grade,High
5280 HIGH SCHOOL,COLORADO,CO ,080336006756,School District No. 1 in the county of Denver and State of C,1-Regular school,1-Yes,2-No,2-No,11-City: Large,95,6.45,14.73,9th Grade,12th Grade,High
54TH STREET ACADEMY,MICHIGAN,MI ,2.62016E+11,Kelloggsville Public Schools,4-Alternative/other school,2-No,2-No,2-No,21-Suburb: Large,101,4.8,21.04,9th Grade,12th Grade,High
5TH AND 6TH GRADE CTR.,Missouri,MO ,2.92826E+11,SIKESTON R-6,1-Regular school,2-No,2-No,2-No,32-Town: Distant,548,33.53,16.34,5th Grade,6th Grade,Middle
622 ALTERNATIVE MIDDLE/HIGH SCHOOL,Minnesota,MN ,2.72385E+11,North St. Paul-Maplewood Oakdale,4-Alternative/other school,2-No,2-No,1-Yes,21-Suburb: Large,0,–,†,6th Grade,12th Grade,High
6TH GRADE ACADEMY,OKLAHOMA,OK ,4.02097E+11,MUSKOGEE,1-Regular school,2-No,†,2-No,32-Town: Distant,363,24,15.13,6th Grade,6th Grade,Middle
6TH GRADE CENTER,Missouri,MO ,2.93144E+11,WAYNESVILLE R-VI,1-Regular school,2-No,2-No,2-No,33-Town: Remote,480,27.9,17.2,6th Grade,6th Grade,Middle
6TH GRADE CENTER,PENNSYLVANIA,PA ,4.21989E+11,Quakertown Community SD,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,422,28.87,14.62,6th Grade,6th Grade,Middle
7 PILLARS CAREER ACADEMY,GEORGIA,GA ,1.30123E+11,Clayton County,1-Regular school,1-Yes,2-No,2-No,21-Suburb: Large,63,7,9,6th Grade,6th Grade,Middle
7 RIVERS COMMUNITY HIGH,Wisconsin,WI ,5.50753E+11,La Crosse School District,1-Regular school,1-Yes,2-No,2-No,13-City: Small,44,4,11,9th Grade,12th Grade,High
70 ONLINE,Colorado,CO ,080615006496,Pueblo County School District 70,4-Alternative/other school,2-No,2-No,2-No,22-Suburb: Mid-size,218,14.48,15.06,Kindergarten,12th Grade,Other
7TH AND 8TH GRADE ACADEMY,Oklahoma,OK ,4.02097E+11,MUSKOGEE,1-Regular school,2-No,†,2-No,32-Town: Distant,724,41.79,17.32,7th Grade,8th Grade,Middle
7TH AND 8TH GRADE ACADEMY,New Mexico,NM ,3.50153E+11,LAS VEGAS CITY PUBLIC SCHOOLS,1-Regular school,2-No,2-No,2-No,33-Town: Remote,224,18.48,12.12,7th Grade,8th Grade,Middle
7TH AND 8TH GRADE CTR.,Missouri,MO ,2.92826E+11,SIKESTON R-6,1-Regular school,2-No,2-No,2-No,32-Town: Distant,536,37.78,14.19,7th Grade,8th Grade,Middle
